index,CB,B,G1,G2,Y,R,RD,NIR,GAI,sun_elevation,Cab,Cw,Cm,N,aot,water,ozone,Density,soil_name,SMCg,Sand,Clay,Silt,TT
2671,0.02140764,0.022682056,0.047406483,0.047359623,0.032552097,0.026837984,0.08973484,0.43868387,3.321292067,79.10779195,39.79488804,0.038731235,0.004643895,1.087653659,0.421896974,1.718616566,0.337209632,352.9616914,30SolNuLabC,13.71882628,253,218,529,1050
2672,0.034196652,0.040520318,0.064311095,0.064552076,0.06044906,0.061599776,0.10003528,0.28265753,1.313483869,51.73575344,62.2499179,0.031239635,0.008145532,1.985067646,0.313779131,3.983804336,0.439271006,352.9616914,30SolNuLabC,21.14753271,253,218,529,790
2673,0.028302696,0.032726068,0.05011937,0.052094486,0.049203448,0.05082336,0.08512633,0.2768503,1.535090084,42.03883749,53.80182077,0.053725055,0.014584009,0.939762527,0.481978714,0.723010343,0.254368612,352.9616914,30VigneC,18.09005819,277,185,538,857
2674,0.02212809,0.024592608,0.043344785,0.043301947,0.036785472,0.03530449,0.07534997,0.36243427,1.94669463,37.74641043,50.62411279,0.036092195,0.00203681,1.0900276,0.061359687,2.435334828,0.418669388,352.9616914,30VigneC,12.41098704,277,185,538,904
2675,0.024934141,0.029238332,0.06764461,0.07313007,0.055432327,0.042654783,0.1215866,0.36329776,2.263311957,63.97784581,33.24227246,0.050120582,0.013402039,1.773296405,0.486842582,3.629927623,0.299457971,352.9616914,30VigneC,10.75330907,277,185,538,952
2676,0.018705195,0.017980916,0.04201571,0.037709985,0.021914316,0.016097086,0.071716875,0.37892377,4.407613999,47.64795441,46.16255511,0.036442182,0.009845456,1.358438696,0.296857652,3.417832596,0.250746622,352.9616914,30VigneC,27.15088501,277,185,538,1149
2677,0.036260176,0.0454692,0.074648805,0.08428831,0.08185884,0.080860786,0.12598227,0.22549497,0.752614014,43.06585644,33.43645667,0.053141736,0.00943432,2.003303614,0.148435311,1.051116974,0.292991438,352.9616914,30VigneC,28.29877483,277,185,538,640
2678,0.03865657,0.04876899,0.0790943,0.08617498,0.085415065,0.08702703,0.12908153,0.24579191,0.775079277,54.4658655,47.35007463,0.038292755,0.007579695,2.493900305,0.157701064,2.396398897,0.410983124,352.9616914,30VigneC,29.26654038,277,185,538,624
2679,0.017549101,0.020769155,0.053273316,0.062469482,0.04582263,0.030989945,0.10260862,0.27486098,2.17042942,48.07521624,25.47919562,0.043536815,0.014327505,1.77428534,0.204146287,1.487732422,0.348322118,352.9616914,30VigneC,15.75075692,277,185,538,939
2680,0.033221632,0.04020641,0.06729425,0.07467506,0.069571994,0.06818733,0.11988847,0.27187267,1.07647164,43.43442536,37.41971676,0.047411874,0.011353524,1.249465889,0.399870941,3.050032891,0.432060536,352.9616914,30VigneC,23.84277417,277,185,538,758
