index,CB,B,G1,G2,Y,R,RD,NIR,GAI,sun_elevation,Cab,Cw,Cm,N,aot,water,ozone,        Density,soil_name,SMCg,Sand,Clay,Silt,TT
536,0.012029681,0.012119027,0.038276114,0.0349918,0.019366283,0.011260644,0.06798036,0.47959024,6.35947835,52.11527548,43.79869558,0.015823279,0.002810129,1.673787476,0.494387718,3.031862678,0.44343491,447.1076845,81Lautrec,19.06350843,239,358,403,1128
537,0.020811167,0.022800345,0.06277181,0.056535512,0.03683328,0.025550444,0.0995481,0.49069786,2.797680529,48.8822616,52.09926265,0.028158063,0.002146542,2.256350514,0.2153992,0.422553905,0.21981509,447.1076845,81Lautrec,32.73298529,239,358,403,885
538,0.024945833,0.02804014,0.06609186,0.061988838,0.045293976,0.0353871,0.10216765,0.3279046,1.909805516,49.00682243,51.91019334,0.041930992,0.010503676,2.371495752,0.200642478,2.030550494,0.314714415,447.1076845,81Lautrec,25.20611031,239,358,403,783
539,0.012771821,0.013479177,0.043285098,0.03946405,0.022854123,0.012658183,0.070947796,0.3650042,6.619521766,65.01282539,45.15709579,0.049408391,0.013126682,2.070615159,0.348380355,1.985683227,0.327887403,447.1076845,81Lautrec,23.25989862,239,358,403,1152
540,0.01130981,0.011103626,0.030517723,0.026719077,0.015001073,0.010339035,0.055208694,0.36650106,6.660842114,34.79790643,48.47110362,0.040732074,0.006136159,1.154181343,0.333031324,3.351716235,0.26333184,447.1076845,13Crau1,12.15828572,396,271,333,1172
541,0.026495047,0.030446766,0.06941076,0.07609242,0.06164114,0.049877144,0.12801483,0.32449737,1.15520133,47.52370839,33.35293244,0.016524385,0.002603013,2.04189635,0.307041008,1.545822484,0.374045568,447.1076845,13Crau1,15.87870743,396,271,333,644
542,0.023406902,0.024920385,0.04779319,0.04793982,0.040444516,0.03879451,0.08760714,0.3014267,1.317911152,35.11258476,49.03245313,0.024586737,0.003256607,1.583164256,0.168778828,0.948037949,0.429284112,447.1076845,13Crau1,18.16713445,396,271,333,683
543,0.02957054,0.03370012,0.07009518,0.0748678,0.06397472,0.05681361,0.12683186,0.3137513,1.38532428,53.04187212,38.96060378,0.032227712,0.010614019,2.020617287,0.366870138,4.058503701,0.312520575,447.1076845,13Crau1,14.41064702,396,271,333,722
544,0.022985026,0.028696362,0.09429926,0.104677476,0.07057051,0.038332578,0.1630761,0.41981426,2.86415093,52.2180871,27.44838306,0.011749356,0.001343793,2.353926828,0.200105459,2.218015789,0.488869697,447.1076845,13Crau1,26.40540601,396,271,333,891
545,0.026679656,0.028109962,0.0431799,0.04419543,0.041663017,0.04396229,0.080239795,0.28989118,1.343351026,39.86574446,55.22982664,0.021311478,0.006446785,1.095115674,0.348708102,4.160764644,0.32362907,447.1076845,13Crau1,10.30427032,396,271,333,694
546,0.021735013,0.022225956,0.050304033,0.048290834,0.034356188,0.028044576,0.08898344,0.30644113,1.993840975,32.53322602,46.31833733,0.039681752,0.012884628,1.531581304,0.201274499,2.999979785,0.34986426,447.1076845,13Crau1,8.81550882,396,271,333,818
547,0.020019308,0.021145996,0.058421947,0.05441649,0.03554504,0.024929555,0.09867194,0.38288337,2.405695463,31.0181905,46.98465825,0.030188752,0.004175375,1.938760548,0.461897001,1.412728041,0.29482948,447.1076845,13Crau1,31.25136363,396,271,333,855
548,0.023115015,0.025299396,0.05420296,0.055714786,0.045076575,0.03955713,0.098837495,0.28966445,1.29444458,38.45735694,42.63055756,0.032884591,0.006528652,1.800260232,0.26930482,1.793087733,0.263857057,447.1076845,13Crau1,20.04904111,396,271,333,677
549,0.021512104,0.023920022,0.068275414,0.08430693,0.059305172,0.036956266,0.14249031,0.3831496,2.354087557,36.53092323,23.18100095,0.029752578,0.007721816,1.402882253,0.389803288,2.737214033,0.414512806,447.1076845,13Crau2,14.55018808,470,214,316,851
550,0.02176165,0.022224873,0.048525598,0.046766363,0.03347969,0.028575597,0.08910906,0.32238388,2.367078369,62.31206198,46.57702604,0.04098613,0.011785652,1.366126121,0.460172147,2.938887978,0.396107578,447.1076845,13Crau2,19.37725149,470,214,316,852
551,0.015218955,0.018550286,0.0634962,0.069494255,0.045629624,0.025462493,0.11931814,0.41731697,3.186061005,32.60970245,30.11925088,0.027417561,0.00679593,2.293890734,0.4359232,3.035802692,0.373008803,447.1076845,13Crau2,18.52155267,470,214,316,927
552,0.012388247,0.01227463,0.03677543,0.03423589,0.01892046,0.011415321,0.06749,0.37686753,6.219842213,42.16718998,42.08881794,0.056334678,0.011401716,1.405334173,0.449947339,1.684559688,0.346500958,447.1076845,13Crau2,24.01543073,470,214,316,1115
