CB,B,G1,G2,Y,R,RD,NIR,Sun_elevation,GAI
0.1034533,0.10537689,0.11599598,0.123654276,0.13277406,0.14753498,0.16269882,0.2361921,48.64299872,0.177127201
0.10518716,0.107278034,0.11797867,0.12599151,0.13552833,0.15065695,0.16552986,0.23581266,58.27557495,0.177299305
0.046932966,0.045785125,0.05116909,0.054353114,0.057711378,0.065551445,0.075925745,0.13072242,25.77800126,0.178772332
0.1413284,0.14515911,0.16098422,0.1716003,0.18350749,0.20197847,0.22392143,0.3075631,45.62713213,0.178984051
0.13156112,0.1349586,0.15025918,0.15982138,0.17067455,0.18828043,0.20949341,0.2929948,56.8289147,0.179007126
0.04719183,0.046192914,0.051716205,0.054940082,0.058352526,0.066387184,0.07703824,0.13384512,51.72694426,0.180176831
0.1252308,0.12825409,0.14410248,0.15328503,0.1626154,0.17847203,0.20202579,0.286181,38.6651723,0.181509768
0.12935059,0.1327244,0.14821246,0.15802738,0.16846266,0.18542051,0.20743793,0.2868419,56.27100808,0.181654441
0.049780756,0.049877796,0.06292315,0.07169538,0.0717442,0.07377533,0.09796389,0.14396642,23.24475969,0.181656639
0.16110094,0.16605315,0.1891175,0.20437132,0.21471407,0.23042609,0.2673442,0.35696363,25.95387743,0.182029275
0.13308644,0.13664643,0.15168227,0.16203448,0.17343289,0.19128163,0.21187155,0.28742874,66.65359468,0.18244606
0.1605041,0.16523093,0.18802376,0.20313379,0.21327502,0.22874962,0.26572037,0.35683712,20.69306892,0.182819305
0.14036149,0.14517407,0.16725472,0.18627378,0.19560266,0.20794983,0.24211651,0.3121313,59.91137705,0.183529308
0.09943918,0.101120844,0.11242904,0.11967661,0.12785973,0.14192234,0.15862207,0.230883,51.43022828,0.183847514
0.162875,0.16787764,0.19075432,0.20600966,0.2168201,0.23299006,0.2689224,0.35738647,24.81567592,0.183946254
0.09581074,0.09695064,0.10823128,0.114697985,0.12182927,0.13477916,0.1523804,0.23106709,23.06238493,0.184182867
0.10003942,0.10170484,0.112890266,0.12021708,0.12853263,0.14271896,0.15912315,0.2303192,52.37914021,0.184403093
0.16499113,0.17047781,0.1924572,0.20783332,0.21996096,0.23777986,0.2712393,0.35785106,39.20322665,0.184912887
0.16782057,0.17366599,0.19654982,0.21242431,0.22466111,0.24273613,0.2776321,0.36606428,58.81558309,0.185093809
0.12576853,0.12860687,0.14785281,0.15978827,0.16659977,0.17819433,0.21041937,0.288078,21.44365963,0.185760861
0.14017066,0.1440441,0.15996778,0.17051028,0.1822574,0.20054969,0.2228359,0.30737343,49.22171377,0.185800797
0.13079153,0.13427512,0.14972372,0.15973762,0.17047848,0.18777305,0.20957015,0.2888895,66.6794393,0.185846787
0.09989646,0.101654984,0.113226354,0.12045745,0.12859266,0.14274387,0.15996628,0.23532262,66.97320002,0.18590027
0.1288802,0.1321295,0.15072083,0.16279812,0.17089252,0.18403019,0.21375442,0.28858134,27.77728894,0.186011054
0.051833455,0.0522073,0.066132516,0.07514132,0.075107165,0.077355914,0.101789914,0.14785618,54.11296589,0.186229738
0.090395704,0.091204315,0.102799065,0.10847692,0.11455599,0.1263806,0.14461474,0.22424883,21.86263255,0.186366655
0.11168995,0.114205934,0.12926695,0.13849415,0.14611597,0.1594406,0.18398301,0.26134965,36.21845413,0.186376101
